[2025-11-05 08:55:27.150066] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:55:29.014631] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:55:29.063871] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:55:31.231543] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:55:37.039610] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 08:55:44.697684] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:55:48.047075] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 08:55:49.214080] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:55:49.476654] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:55:54.798258] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 08:55:59.940364] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:56:00.541672] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 08:56:02.372396] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:56:03.708454] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 08:56:08.442787] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:56:08.520526] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:57:15.090145] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 08:57:28.791391] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 08:57:29.007797] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:57:30.100952] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 08:57:31.429666] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:57:32.036925] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 08:57:38.312803] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:58:11.056484] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:58:14.236208] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:58:15.238320] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:58:18.804140] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:58:26.073641] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:58:27.051236] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:58:29.237648] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 08:58:38.536244] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:58:45.854175] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:58:48.443674] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 08:58:53.208385] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 08:58:59.317054] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 08:59:02.918511] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:59:35.032446] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:59:41.569780] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 08:59:41.667145] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:00:10.804119] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 09:00:13.530587] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:00:14.784844] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 09:00:21.987517] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:00:27.911232] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:00:29.611793] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:00:31.009712] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:00:31.077858] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:00:37.033034] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 09:00:46.570069] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 09:01:03.238803] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:01:04.441816] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 09:01:05.584205] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:01:07.065352] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: true
[2025-11-05 09:01:13.735941] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:01:13.823569] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:02:20.685441] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:02:21.367252] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:02:23.535777] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:02:24.131315] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:02:32.549759] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:02:32.632871] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:02:49.081898] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:02:49.245043] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:03:00.776917] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:03:00.852618] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:03:15.778380] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:03:15.839419] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:03:17.253468] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:03:17.317968] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:03:45.542330] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:03:45.666653] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:04:09.687299] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:04:11.078942] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:04:54.750579] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:05:12.334659] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:05:12.419369] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:05:20.347780] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:05:51.498100] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:05:51.590225] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:07:21.200584] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:07:21.291234] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:07:26.579845] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:07:33.259338] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:07:33.343201] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:08:04.492632] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:08:04.592984] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:09:53.975926] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:09:55.559070] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:09:55.737829] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:10:23.457788] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:10:23.532068] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:10:24.265795] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:10:24.359354] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:11:18.478961] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:11:37.972841] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:11:39.203084] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:11:39.863095] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:11:40.981812] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:11:41.584891] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:11:50.532973] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:11:52.468082] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:11:56.210794] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:11:56.630361] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:11:59.656789] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:02.359900] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:05.151995] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:05.586627] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:07.917183] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:09.601208] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:20.726453] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:20.978981] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:21.132375] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:38.614886] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:38.828965] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:41.065163] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:43.288390] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:44.898254] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:44.978798] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:46.730826] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:48.505605] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:49.904114] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:50.335387] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:50.410877] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:54.054277] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:12:58.412538] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:13:08.064013] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:13:09.361594] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:13:10.974327] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:13:11.066129] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:13:33.782309] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:13:38.109269] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:13:39.159543] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:13:40.158616] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:13:40.908320] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:13:43.125418] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:13:43.870070] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:13:44.855176] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:13:47.995872] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:13:49.071222] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:13:55.311155] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:13:57.992729] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:14:02.546293] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:14:03.133732] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:14:03.707931] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:14:08.151744] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:14:11.683209] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:14:12.484225] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:14:21.318431] [p-13628] [t-3176] [debug] Peek space-mode eligibility recomputed: false
